slug,denominazione,slug_parent
preventivo-entrate-avanzo-di-amministrazione,Avanzo di amministrazione,preventivo-entrate
preventivo-spese-disavanzo-di-amministrazione,Disavanzo di amministrazione,preventivo-spese
preventivo-entrate-prestiti-anticipazioni-di-cassa,Anticipazioni di cassa,preventivo-entrate-prestiti
preventivo-entrate-prestiti-finanziamenti-a-breve-termine,Finanziamenti a breve termine,preventivo-entrate-prestiti
preventivo-entrate-prestiti-emissione-di-prestiti-obbligazionari,Emissione di prestiti obbligazionari,preventivo-entrate-prestiti
preventivo-entrate-prestiti-assunzioni-di-mutui-e-prestiti,Assunzioni di mutui e prestiti,preventivo-entrate-prestiti
preventivo-spese-prestiti-anticipazioni-di-cassa,Anticipazioni di cassa,preventivo-spese-prestiti
preventivo-spese-prestiti-finanziamenti-a-breve-termine,Finanziamenti a breve termine,preventivo-spese-prestiti
preventivo-spese-prestiti-quota-capitale-di-mutui-e-prestiti,Quota capitale di mutui e prestiti,preventivo-spese-prestiti
preventivo-spese-prestiti-prestiti-obbligazionari,Prestiti obbligazionari,preventivo-spese-prestiti
preventivo-spese-prestiti-quota-capitale-di-debiti-pluriennali,Quota capitale di debiti pluriennali,preventivo-spese-prestiti
preventivo-spese-spese-per-investimenti-interventi-concessioni-di-crediti-e-anticipazioni,Concessioni di crediti e anticipazioni,preventivo-spese-spese-per-investimenti-interventi
consuntivo-entrate-accertamenti-prestiti-anticipazioni-di-cassa,Anticipazioni di cassa,consuntivo-entrate-accertamenti-prestiti
consuntivo-entrate-accertamenti-prestiti-finanziamenti-a-breve-termine,Finanziamenti a breve termine,consuntivo-entrate-accertamenti-prestiti
consuntivo-entrate-accertamenti-prestiti-assunzioni-di-mutui-e-prestiti,Assunzioni di mutui e prestiti,consuntivo-entrate-accertamenti-prestiti
consuntivo-entrate-accertamenti-prestiti-emissioni-di-prestiti-obbligazionari,Emissioni di prestiti obbligazionari,consuntivo-entrate-accertamenti-prestiti
consuntivo-entrate-riscossioni-in-conto-competenza-prestiti-anticipazioni-di-cassa,Anticipazioni di cassa,consuntivo-entrate-riscossioni-in-conto-competenza-prestiti
consuntivo-entrate-riscossioni-in-conto-competenza-prestiti-finanziamenti-a-breve-termine,Finanziamenti a breve termine,consuntivo-entrate-riscossioni-in-conto-competenza-prestiti
consuntivo-entrate-riscossioni-in-conto-competenza-prestiti-assunzioni-di-mutui-e-prestiti,Assunzioni di mutui e prestiti,consuntivo-entrate-riscossioni-in-conto-competenza-prestiti
consuntivo-entrate-riscossioni-in-conto-competenza-prestiti-emissioni-di-prestiti-obbligazionari,Emissioni di prestiti obbligazionari,consuntivo-entrate-riscossioni-in-conto-competenza-prestiti
consuntivo-entrate-riscossioni-in-conto-residui-prestiti-anticipazioni-di-cassa,Anticipazioni di cassa,consuntivo-entrate-riscossioni-in-conto-residui-prestiti
consuntivo-entrate-riscossioni-in-conto-residui-prestiti-finanziamenti-a-breve-termine,Finanziamenti a breve termine,consuntivo-entrate-riscossioni-in-conto-residui-prestiti
consuntivo-entrate-riscossioni-in-conto-residui-prestiti-assunzioni-di-mutui-e-prestiti,Assunzioni di mutui e prestiti,consuntivo-entrate-riscossioni-in-conto-residui-prestiti
consuntivo-entrate-riscossioni-in-conto-residui-prestiti-emissioni-di-prestiti-obbligazionari,Emissioni di prestiti obbligazionari,consuntivo-entrate-riscossioni-in-conto-residui-prestiti
consuntivo-entrate-cassa-prestiti-anticipazioni-di-cassa,Anticipazioni di cassa,consuntivo-entrate-cassa-prestiti
consuntivo-entrate-cassa-prestiti-finanziamenti-a-breve-termine,Finanziamenti a breve termine,consuntivo-entrate-cassa-prestiti
consuntivo-entrate-cassa-prestiti-assunzioni-di-mutui-e-prestiti,Assunzioni di mutui e prestiti,consuntivo-entrate-cassa-prestiti
consuntivo-entrate-cassa-prestiti-emissioni-di-prestiti-obbligazionari,Emissioni di prestiti obbligazionari,consuntivo-entrate-cassa-prestiti
consuntivo-spese-cassa-prestiti-anticipazioni-di-cassa,Anticipazioni di cassa,consuntivo-spese-cassa-prestiti
consuntivo-spese-cassa-prestiti-finanziamenti-a-breve-termine,Finanziamenti a breve termine,consuntivo-spese-cassa-prestiti
consuntivo-spese-cassa-prestiti-quota-capitale-di-mutui-e-prestiti,Quota capitale di mutui e prestiti,consuntivo-spese-cassa-prestiti
consuntivo-spese-cassa-prestiti-prestiti-obbligazionari,Prestiti obbligazionari,consuntivo-spese-cassa-prestiti
consuntivo-spese-cassa-prestiti-quota-capitale-di-debiti-pluriennali,Quota capitale di debiti pluriennali,consuntivo-spese-cassa-prestiti
consuntivo-spese-cassa-prestiti-quota-capitale-per-estinzione-anticipata-di-prestiti,Quota capitale per estinzione anticipata di prestiti,consuntivo-spese-cassa-prestiti
consuntivo-spese-impegni-prestiti-anticipazioni-di-cassa,Anticipazioni di cassa,consuntivo-spese-impegni-prestiti
consuntivo-spese-impegni-prestiti-finanziamenti-a-breve-termine,Finanziamenti a breve termine,consuntivo-spese-impegni-prestiti
consuntivo-spese-impegni-prestiti-quota-capitale-di-mutui-e-prestiti,Quota capitale di mutui e prestiti,consuntivo-spese-impegni-prestiti
consuntivo-spese-impegni-prestiti-prestiti-obbligazionari,Prestiti obbligazionari,consuntivo-spese-impegni-prestiti
consuntivo-spese-impegni-prestiti-quota-capitale-di-debiti-pluriennali,Quota capitale di debiti pluriennali,consuntivo-spese-impegni-prestiti
