"Personale";"Personale"
"Prestazioni di servizi";"Prestazioni di servizi"
"Trasferimenti";"Trasferimenti"
"Interessi passivi e oneri finanziari diversi";"Interessi passivi e oneri finanziari diversi"
"Interessi passivi ed oneri finanziari diversi";"Interessi passivi e oneri finanziari diversi"
"Oneri straordinari della gestione corrente";"Interessi passivi e oneri finanziari diversi"
"Fondo svalutazione crediti";"Interessi passivi e oneri finanziari diversi"
"Ammortamenti di esercizio";"Altre spese per interventi correnti"
"Utilizzo di beni terzi";"Altre spese per interventi correnti"
"Utilizzo di beni di terzi";"Altre spese per interventi correnti"
"Fondo di riserva";"Altre spese per interventi correnti"
"Acquisto di beni di consumo e/o di materie prime";"Altre spese per interventi correnti"
"Imposte e tasse";"Altre spese per interventi correnti"
"";""
"Acquisizione di beni immobili";"Acquisizione di beni immobili"
"Utilizzo di beni di terzi per realizzazioni in economia";"Altri investimenti per interventi"
"Incarichi professionali esterni";"Incarichi professionali esterni"
"Trasferimenti di capitali";"Trasferimenti di capitali"
"Partecipazioni azionarie";"Partecipazioni azionarie"
"Acquisizioni di beni mobili,macchine ed attrezzature tecnico-scientifiche";"Acquisizioni di beni mobili"
"Acquisizione di beni mobili, macchine ed attrezzature tecnico-scientifiche";"Acquisizioni di beni mobili"
"Acquisto di beni e specifici per realizzazioni in economia";"Acquisizioni di beni mobili"
"Acquisto di beni specifici per realizzazioni in economia";"Acquisizioni di beni mobili"
"Conferimenti di capitale";"Conferimenti di capitale"
"Espropri e servitù onerose";"Altri investimenti per interventi"
"Concessioni di crediti e anticipazioni";"Altri investimenti per interventi"
