"ENTRATE";"IMPOSTE E TASSE";"IMPOSTE";"Casa e fabbricati"
"ENTRATE";"IMPOSTE E TASSE";"IMPOSTE";"Imposte (altro)"
"ENTRATE";"IMPOSTE E TASSE";"Tasse";"Rifiuti"
"ENTRATE";"IMPOSTE E TASSE";"Tasse";"Altre Tasse"
"ENTRATE";"IMPOSTE E TASSE";"Altri tributi";""
"ENTRATE";"IMPOSTE E TASSE";"TOTALE IMPOSTE E TASSE";""
"ENTRATE";"CONTRIBUTI  PUBBLICI";"Contributi dallo Stato";""
"ENTRATE";"CONTRIBUTI  PUBBLICI";"Contributi dalla Regione";""
"ENTRATE";"CONTRIBUTI  PUBBLICI";"Contributi da altri enti pubblici";""
"ENTRATE";"CONTRIBUTI  PUBBLICI";"TOTALE CONTRIBUTI  PUBBLICI";""
"ENTRATE";"Entrate extratibutarie";"Servizi pubblici";""
"ENTRATE";"Entrate extratibutarie";"Proventi di beni dell'ente";"C.O.S.A.P."
"ENTRATE";"Entrate extratibutarie";"Proventi di beni dell'ente";"Altri proventi"
"ENTRATE";"Entrate extratibutarie";"Interessi su anticipazioni o crediti";""
"ENTRATE";"Entrate extratibutarie";"Utili delle aziende partecipate";""
"ENTRATE";"Entrate extratibutarie";"Altre entrate extratributarie";""
"ENTRATE";"Entrate extratibutarie";"Totale Entrate Extratributarie";""
"ENTRATE";"VENDITE E TRASFERIMENTI DI CAPITALI";"Alienazione del patrimonio";""
"ENTRATE";"VENDITE E TRASFERIMENTI DI CAPITALI";"Trasferimenti di capitali dallo Stato";""
"ENTRATE";"VENDITE E TRASFERIMENTI DI CAPITALI";"Trasferimenti di capitali dalla Regione";""
"ENTRATE";"VENDITE E TRASFERIMENTI DI CAPITALI";"Trasferimenti di capitali da altri enti pubblici";""
"ENTRATE";"VENDITE E TRASFERIMENTI DI CAPITALI";"Trasferimenti di capitali da privati";"Permessi di costruire  e sanzioni"
"ENTRATE";"VENDITE E TRASFERIMENTI DI CAPITALI";"Trasferimenti di capitali da privati";"Trasferimenti di capitali (altro )"
"ENTRATE";"VENDITE E TRASFERIMENTI DI CAPITALI";"Riscossioni di crediti";""
"ENTRATE";"VENDITE E TRASFERIMENTI DI CAPITALI";"Totale VENDITE E TRASFERIMENTI DI CAPITALI";""
"ENTRATE";"PRESTITI";"TOTALE PRESTITI";""
"ENTRATE";"ENTRATE PER CONTO TERZI";"";""
